OVCAR,MCF,MOLT4,NCI,chemical3
0.0962,0.0872,0.1274,0.1459,0
0.0962,0.0872,0.1274,0.1459,0
0.7696,0.6975,0.8917,0.9241,0
0.9535,0.8552,1.1072,1.1787,0
2.0202,2.5719,2.4841,1.7996,0
2.0202,2.5719,2.4841,1.7996,0
2.0221,2.5742,2.4872,1.8022,0
2.0221,2.5742,2.4872,1.8022,0
2.886,2.9642,3.6352,2.6751,0
2.8888,2.9668,3.6624,2.679,0
3.0784,3.3566,4.3312,3.2588,0
3.0784,3.3566,4.3312,3.2588,0
3.1265,3.3566,4.3949,3.3074,0
3.1265,3.3566,4.3949,3.3074,0
3.1295,3.3595,4.4005,3.3122,0
3.1295,3.3595,4.4005,3.3122,0
3.5757,3.6344,4.5077,3.4119,0
3.6101,3.6658,4.5982,3.4548,0
11.6402,12.7724,12.8981,10.5058,0
12.2174,12.7724,12.8981,11.9163,0
12.2174,12.7724,15.3503,11.9163,0
15.2477,15.7951,16.1935,13.6187,0
15.2828,15.7951,16.1935,13.7847,0
15.2828,16.7829,16.5605,13.8462,0
15.5994,17.1466,19.0446,15.2174,0
15.8897,17.3496,19.4586,15.3804,0
16.4021,18.0086,20.0574,15.3894,0
17.2283,19.1352,21.2691,15.3894,0
17.6087,19.5328,21.4107,16.0992,0
18.7109,19.8344,21.8761,17.7529,0
19.8653,21.7277,22.0898,19.3863,0.3115
19.8844,22.6143,22.5206,19.837,0.3115
20.3659,24.4622,23.8313,21.2179,0.4673
21.1413,24.7515,23.8811,21.6304,0.4673
22.39,,,23.0058,0.4673
22.9891,,,23.0058,0.6231
23.2804,,,30.3205,0.6231
23.2804,,,30.3205,0.7407
24.6126,,,,0.9346
24.8496,,,,0.9346
31.7794,,,,0.9346
31.7794,,,,0.939
,,,,1.2552
,,,,1.5576
,,,,1.8692
,,,,1.8692
,,,,2.0921
,,,,2.1368
,,,,2.4922
,,,,2.5
,,,,2.7027
,,,,2.7778
,,,,2.8037
,,,,2.8037
,,,,3.271
,,,,3.2864
,,,,3.5211
,,,,3.8462
,,,,3.8462
,,,,4.2253
,,,,4.2553
,,,,4.2553
,,,,4.4444
,,,,4.6729
,,,,4.6729
,,,,5.1402
,,,,5.1402
,,,,5.4393
,,,,5.5556
,,,,5.6338
,,,,5.7692
,,,,6.0748
,,,,6.1033
,,,,6.3063
,,,,6.5421
,,,,6.6667
,,,,8.1481
,,,,8.8889
,,,,9.6154
,,,,9.6154
,,,,9.6234
,,,,10.6796
,,,,11.2676
,,,,11.2676
,,,,11.4754
,,,,11.4754
,,,,11.6822
,,,,11.7371
,,,,12.2449
,,,,12.3932
,,,,12.5926
,,,,12.6168
,,,,12.6761
,,,,13.3891
,,,,13.3891
,,,,13.4021
,,,,13.4021
,,,,15.3153
,,,,15.534
,,,,15.534
,,,,15.625
,,,,17.9916
,,,,18.1818
,,,,20.0837
,,,,20.0855
,,,,20.0855
,,,,21.3115
,,,,21.3115
,,,,21.3389
,,,,21.3389
,,,,21.3389
,,,,21.7949
,,,,22.5941
,,,,22.5941
,,,,23.7037
,,,,23.7037
,,,,23.7113
,,,,23.9316
,,,,24.3243
,,,,24.3243
,,,,25.2336
,,,,25.3521
,,,,26.1682
,,,,28.7356
,,,,28.7356
,,,,29.8969
,,,,34.8148
,,,,35.5556
,,,,38.7387
,,,,42.3423
